County Name,%Covid Death Rate,Tiers,Population Density,Population,Persons 65 years and older,% Male,% Female,% Minority Population,Median Household Income,County Area
Calaveras CA,2.55,mid,44.70,45905.00,28.00,49.80,50.20,9.00,63158.00,1037.00
Baltimore,2.55,mid,1345.00,827370.00,17.60,47.30,52.70,39.80,76866.00,598.30
Adams MS,2.62,mid,9.50,3602.00,23.70,49.90,50.10,2.60,49255.00,423.44
Baxter,2.65,mid,74.90,41932.00,31.10,48.50,51.50,3.50,42260.00,554.28
Aitkin MN,2.66,mid,8.90,15886.00,33.80,50.50,49.50,5.20,49351.00,1821.66
Adair KY,2.71,mid,46.00,19202.00,19.20,49.80,50.20,5.20,38021.00,405.28
Caddo Parish LA,2.73,mid,290.20,240204.00,17.70,47.30,52.70,53.50,41797.00,2430.00
Bergen NJ,2.73,mid,3884.50,932202.00,17.70,48.60,51.40,44.90,101144.00,233.01
Calhoun SC,2.75,mid,39.80,14553.00,23.90,48.00,52.00,42.50,46339.00,392.00
Benzie MI,2.79,mid,54.80,17766.00,27.00,49.90,50.10,6.30,57974.00,319.70
Alpena MI,2.79,mid,51.80,28405.00,23.90,49.40,50.60,3.20,43363.00,571.86
Acadia Parish LA,2.80,mid,94.30,62045.00,15.80,48.90,51.10,20.30,43396.00,655.12
Allen Parish LA,2.81,mid,33.80,25627.00,15.20,56.50,43.50,28.60,46446.00,761.85
Cameron PA,2.85,mid,12.80,4447.00,28.10,50.00,50.00,3.50,41165.00,398.00
Belmont OH,2.89,mid,132.30,67006.00,21.40,51.10,48.90,7.60,50904.00,532.13
Cambria PA,2.97,mid,208.70,130192.00,23.70,49.30,50.70,6.10,46659.00,694.00
Bedford - Pennsylvania,2.99,mid,49.20,47888.00,23.40,49.70,50.30,3.30,50509.00,1012.30
Allegany MD,2.99,mid,177.00,70416.00,17.30,52.10,47.90,11.80,45893.00,424.16
Campbell SD,3.01,high,2.00,1376.00,29.30,51.70,48.30,3.00,54449.00,771.00
Bacon,3.02,high,42.90,11164.00,16.80,48.90,51.10,19.30,37519.00,258.58
Bay - Michigan,3.13,high,243.70,103.13,21.00,49.10,50.90,5.40,48819.00,442.30
Angelina TX,3.24,high,108.80,86715.00,16.60,48.80,51.20,19.00,50453.00,797.78
Bamberg,3.29,high,40.60,14066.00,22.40,47.90,52.10,62.40,31422.00,393.37
Barnstable,3.33,high,548.30,212990.00,31.40,47.80,52.20,7.80,74336.00,393.72
Camp TX,3.34,high,63.30,13094.00,19.00,48.60,51.40,23.40,48207.00,203.00
Allamakee IA,3.34,high,22.40,13687.00,23.50,51.00,49.00,3.90,52216.00,639.08
Callahan TX,3.36,high,15.10,13943.00,21.20,49.60,50.40,5.30,48651.00,901.30
Amite MS,3.47,high,18.00,12297.00,24.10,48.30,51.70,41.40,33891.00,730.10
Baldwin - Georgia,3.47,high,177.30,44890.00,16.50,50.70,49.30,46.00,43672.00,257.84
Cameron Tx,3.54,high,456.00,423163.00,13.80,48.80,51.20,2.90,38758.00,5.24
Calhoun FL,3.54,high,1048.20,17271.00,13.10,46.90,53.10,21.20,35761.00,16.09
Alleghany VA,3.57,high,36.50,14860.00,25.50,48.90,51.10,7.20,46763.00,445.46
Adair IA,3.57,high,13.50,7152.00,23.00,49.80,50.20,2.60,53363.00,569.27
Amelia VA,3.80,high,35.70,13145.00,20.10,49.30,50.70,23.50,57946.00,355.27
Bath - Virginia,3.99,high,8.90,4147.00,28.00,50.60,49.40,7.10,49738.00,529.16
Baylor,4.29,high,4.30,3509.00,24.10,48.60,51.40,7.00,40739.00,867.48
Baraga,4.74,high,9.90,8209.00,22.70,55.10,44.90,27.30,46065.00,898.26
Ben Hill GA,5.52,high,70.50,17634.00,17.90,47.20,52.80,45.20,32229.00,250.12
Baker - Georgia,5.59,high,10.10,3038.00,23.70,49.20,50.80,47.10,32917.00,341.94
Caldwell TX,5.77,high,69.80,43664.00,14.90,50.50,49.50,11.20,54152.00,547.00
